tip_diameter_mm,hub_ratio,blade_angle_deg,blade_count,speed_rpm,blade_profile,flow_rate_m3s,total_pressure_pa,temperature_celsius,efficiency_pct,shaft_power_kw,noise_dba,safety_factor,cost_total,is_feasible,status
1312.86,0.3080,34.80,4,660,NACA 2412,8.9332,1661.04,0.95,73.960,4.155,80.55,82.060,48172.71,1,warning
678.67,0.3514,23.00,8,2067,NACA 4412,18.0002,687.75,8.11,0.000,0.000,107.17,36.280,1809.52,0,warning
1044.25,0.5789,17.96,6,2480,NACA 0012,10.5472,182.89,-1.39,85.330,39.284,91.33,16.310,215616.88,1,warning
556.00,0.3417,14.29,12,1438,Flat Plate,1.5769,1642.29,28.87,37.940,0.065,72.68,33.650,985.59,1,warning
1515.95,0.3309,23.75,12,1231,NACA 0012,6.0724,812.93,34.25,39.350,19.933,94.33,18.540,118883.90,1,warning
715.40,0.4425,15.15,4,1089,NACA 2412,1.7911,735.88,5.05,86.580,0.421,62.99,135.690,6359.35,1,warning
2582.20,0.4864,31.02,4,810,NACA 0012,16.8855,505.12,28.22,36.770,84.799,97.79,21.670,639546.70,1,warning
382.13,0.4152,14.99,8,1667,Flat Plate,13.9212,1017.14,23.14,0.000,0.000,89.02,112.430,319.38,0,warning
2059.50,0.4613,18.16,10,2178,NACA 2412,5.5366,1572.00,0.45,20.280,523.271,145.38,4.440,2807381.41,1,warning
665.02,0.3753,13.41,12,1577,NACA 4412,4.5518,1659.36,37.02,0.000,0.000,99.91,31.260,1132.21,0,warning
307.53,0.3241,26.59,10,2375,NACA 2412,6.6488,1989.41,12.22,0.000,0.000,94.91,37.660,134.75,0,warning
628.12,0.3163,19.59,12,2437,Flat Plate,4.1423,1817.78,10.81,83.940,2.396,92.19,17.800,13652.44,1,warning
2118.80,0.4088,24.58,6,1218,NACA 4412,2.8222,433.08,-4.02,10.630,85.572,101.25,12.970,525409.53,1,warning
2005.44,0.5625,14.30,4,687,Flat Plate,12.6059,1287.29,21.92,77.640,13.363,90.76,54.320,154900.60,1,warning
2826.73,0.4073,16.12,4,1735,NACA 4412,17.1939,114.28,22.24,27.930,1209.842,110.49,3.630,6659209.91,1,warning
543.41,0.3930,16.03,12,2195,Flat Plate,19.6346,361.51,33.47,0.000,0.000,96.63,49.240,615.79,0,warning
1671.24,0.5411,21.39,8,1634,NACA 0012,12.6321,1034.69,3.40,62.160,138.194,110.76,13.410,755892.86,1,warning
